Sender,CreationDateTime,RefType RefNumber,RefNumber2,EventType,EventDateTime,SignedBy,Remarks,Damage,Pieces,Lat,Lon,LocCode,LocCountry
ZBOT_DHL.001,2024-09-20T01:30:39-06:00,CN,CAIU2676871,SGNA85640,POD,2024-09-12T12:03:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:30:46-06:00,CN,UACU3807605,SGNA85774,POD,2024-09-12T12:03:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:31:13-06:00,CN,HAMU1970225,SHAG40494,POD,2024-09-10T13:21:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:31:19-06:00,CN,HAMU1970170,SHAG40494,POD,2024-08-06T11:06:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:31:26-06:00,CN,HAMU1969902,SHAG40498,POD,2024-09-07T13:54:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:32:34-06:00,CN,UACU5852305,SZXC47830,POD,2024-09-18T18:26:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:32:54-06:00,CN,CAAU6696174,SZXC50673,POD,2024-09-13T12:59:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:33:01-06:00,CN,HAMU2244470,SZXC50674,POD,2024-09-13T13:26:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:33:07-06:00,CN,TCNU6982298,ZSNA72117,POD,2024-09-09T17:52:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:33:14-06:00,CN,TGBU5113453,SZXC52620,POD,2024-09-06T06:52:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:33:21-06:00,CN,UETU6732340,SZXC52624,POD,2024-09-13T17:23:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:33:28-06:00,CN,UETU6745815,SZXC52624,POD,2024-09-13T17:22:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:33:35-06:00,CN,FCIU7483702,ZSNA73294,POD,2024-09-13T12:52:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:33:41-06:00,CN,HLXU8050015,SZXC52621,POD,2024-09-11T12:32:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:33:48-06:00,CN,TGBU5799404,ZSNA73689,POD,2024-09-13T12:49:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:33:55-06:00,CN,UETU5815733,SZXC48248,POD,2024-09-06T12:49:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:34:02-06:00,CN,HLBU1907140,SZXC48248,POD,2024-09-06T12:49:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:34:08-06:00,CN,HAMU1558331,SZXC48246,POD,2024-09-06T08:31:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:34:15-06:00,CN,WBPU7083742,SZXC48246,POD,2024-09-06T06:53:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:34:22-06:00,CN,HLXU8176831,SZXC48246,POD,2024-09-06T08:31:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:34:29-06:00,CN,SEGU6573755,SZXC48247,POD,2024-09-11T12:08:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:34:42-06:00,CN,FANU1885341,SZXC56464,POD,2024-09-11T12:09:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:34:49-06:00,CN,UACU6020465,SZXC56465,POD,2024-09-11T12:09:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:35:02-06:00,CN,TCLU5134525,SZXC52627,POD,2024-09-07T06:39:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:35:09-06:00,CN,FSCU7154590,ZSNA73830,POD,2024-09-07T11:59:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:35:30-06:00,CN,HLBU1615684,SZXC57696,POD,2024-09-14T13:39:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:35:56-06:00,CN,BEAU5994969,ZSNA74841,POD,2024-09-07T06:38:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:37:57-06:00,CN,FBLU0127805,XMNB07041,POD,2024-09-10T23:07:00-06:00,ZBOT_DHL.001,,,1,,,,MX
